iter	Passed	Remaining
741	1346	468
742	1346	465
743	1347	463
744	1348	461
745	1349	459
746	1350	457
747	1351	455
748	1352	453
749	1353	451
750	1354	449
751	1355	446
752	1356	444
753	1357	442
754	1358	440
755	1358	438
756	1359	436
757	1360	434
758	1361	432
759	1362	430
760	1362	428
761	1363	425
762	1365	424
763	1366	422
764	1367	420
765	1368	418
766	1369	415
767	1369	413
768	1370	411
769	1371	409
770	1372	407
771	1373	405
772	1374	403
773	1375	401
774	1376	399
775	1377	397
776	1378	395
777	1378	393
778	1380	391
779	1381	389
780	1382	387
781	1383	385
782	1384	383
783	1385	381
784	1386	379
785	1387	377
786	1388	375
787	1389	373
788	1390	371
789	1391	369
790	1392	367
791	1393	365
792	1393	363
793	1395	362
794	1396	360
795	1397	358
796	1398	356
797	1399	354
798	1399	352
799	1400	350
800	1401	348
801	1402	346
802	1403	344
803	1404	342
804	1405	340
805	1405	338
806	1406	336
807	1407	334
808	1408	332
809	1409	330
810	1411	328
811	1412	326
812	1412	325
813	1413	323
814	1415	321
815	1416	319
816	1417	317
817	1417	315
818	1418	313
819	1419	311
820	1420	309
821	1421	307
822	1422	305
823	1422	303
824	1424	302
825	1425	300
826	1426	298
827	1427	296
828	1427	294
829	1428	292
830	1429	290
831	1430	288
832	1431	286
833	1432	285
834	1433	283
835	1433	281
836	1434	279
837	1435	277
838	1436	275
839	1437	273
840	1437	271
841	1439	270
842	1440	268
843	1441	266
844	1442	264
845	1443	262
846	1444	260
847	1445	259
848	1446	257
849	1447	255
850	1448	253
851	1449	251
852	1450	249
853	1451	248
854	1451	246
855	1452	244
856	1454	242
857	1455	240
858	1456	239
859	1457	237
860	1458	235
861	1459	233
862	1459	231
863	1460	229
864	1461	228
865	1462	226
866	1463	224
867	1464	222
868	1465	220
869	1466	219
870	1466	217
871	1467	215
872	1469	213
873	1470	212
874	1472	210
875	1476	208
876	1477	207
877	1478	205
878	1479	203
879	1480	201
880	1481	200
881	1482	198
882	1484	196
883	1485	194
884	1486	193
885	1487	191
886	1488	189
887	1488	187
888	1489	186
889	1491	184
890	1491	182
891	1492	180
892	1493	178
893	1494	177
894	1495	175
895	1496	173
896	1497	171
897	1499	170
898	1500	168
899	1501	166
900	1501	165
901	1502	163
902	1503	161
903	1504	159
904	1505	158
905	1506	156
906	1506	154
907	1507	152
908	1508	151
909	1509	149
910	1510	147
911	1511	145
912	1511	144
913	1513	142
914	1514	140
915	1515	138
916	1516	137
917	1517	135
918	1517	133
919	1518	132
920	1519	130
921	1520	128
922	1521	126
923	1522	125
924	1523	123
925	1524	121
926	1525	120
927	1525	118
928	1526	116
929	1528	115
930	1529	113
931	1530	111
932	1531	109
933	1531	108
934	1532	106
935	1533	104
936	1534	103
937	1535	101
938	1536	99
939	1537	98
940	1538	96
941	1539	94
942	1539	93
943	1540	91
944	1541	89
945	1544	88
946	1545	86
947	1547	84
948	1548	83
949	1548	81
950	1549	79
951	1550	78
952	1551	76
953	1552	74
954	1553	73
955	1554	71
956	1555	69
957	1555	68
958	1556	66
959	1558	64
960	1559	63
961	1560	61
962	1561	60
963	1562	58
964	1563	56
965	1564	55
966	1565	53
967	1566	51
968	1566	50
969	1567	48
970	1568	46
971	1569	45
972	1570	43
973	1570	41
974	1574	40
975	1575	38
976	1603	37
977	1606	36
978	1607	34
979	1608	32
980	1610	31
981	1612	29
982	1613	27
983	1615	26
984	1616	24
985	1617	22
986	1617	21
987	1618	19
988	1619	18
989	1621	16
990	1622	14
991	1623	13
992	1623	11
993	1624	9
994	1625	8
995	1626	6
996	1627	4
997	1628	3
998	1628	1
999	1629	0
